Date,gold_close,silver_close,gsr,gsr_zscore_30,gsr_zscore_90,gsr_slope,gold_ret_5,gold_ret_20,silver_ret_5,silver_ret_20,gold_vol_20,silver_vol_20,vol_ratio,capital
2024-06-03,2346.60009765625,30.641000747680664,76.583663731475,-1.0273348511124143,-2.0246121870757183,-0.3203918526764653,0.0060450579448017,0.0207046966751849,0.0102539012448703,0.1586689771706702,0.0106076062782879,0.0254298230441578,0.4171325242754651,1.0
2024-06-04,2325.5,29.488000869750977,78.86258584540114,-0.4938680299005722,-1.4721401430367176,5.195828417951503,-0.0126103735511277,0.0016798338127601,-0.0776641252851985,0.0774234144001235,0.0106252319965246,0.0264928294253859,0.4010606729058307,0.9910082260384612
2024-06-05,2354.10009765625,29.947999954223633,78.60625421579266,-0.5067560860362992,-1.4896277241424445,5.932897288029551,0.0058967006538479,0.0168020677715914,-0.0700245077396197,0.0968758197467136,0.0109380801910894,0.026567045133987,0.4117160992472004,1.003196113392943
2024-06-06,2370.300048828125,31.246999740600582,75.8568844530789,-1.0382171733890229,-2.022333173995958,1.2137129895613583,0.0116949710301172,0.0245072392715204,-0.0044921863606224,0.1420269606701798,0.0110112774946631,0.0279024193152055,0.3946352239306537,1.0100996975136696
2024-06-07,2305.199951171875,29.334999084472656,78.58189954374477,-0.4005427536136907,-1.3983033327159973,1.910947486141424,-0.0076197649128213,-0.0115347306538898,-0.0317523772134518,0.0427626587620946,0.0126099957588046,0.0312878505115224,0.4030317056827124,0.9823573916468663
2024-06-10,2307.699951171875,29.768999099731445,77.52023987909938,-0.5868580388834811,-1.581423329842245,0.936576147624379,-0.0165772372221529,-0.025176401988313,-0.0284586543086463,0.052838178651011,0.0120757492969469,0.0314041898774107,0.3845266935426715,0.9834227627778471
2024-06-11,2307.5,29.132999420166016,79.20571331226321,-0.1611248431315513,-1.1966579871862102,0.3431274668620716,-0.0077402709094818,-0.012242667891219,-0.0120388442455969,0.032316315052002,0.0117426942094275,0.0318637428925121,0.3685284007293132,0.9833375538953985
2024-06-12,2336.0,30.176000595092773,77.41251172893602,-0.5282831123776802,-1.5339563907204328,-1.1937424868566353,-0.0076887544732148,-0.0073935170671255,0.0076132176177923,0.0593645760403003,0.0119689282614989,0.0327190664499113,0.3658089780716042,0.9954827847885812
2024-06-13,2300.199951171875,28.989999771118164,79.34460052888626,0.0026169400547336,-1.1056179511431825,3.487716075807356,-0.0295743560782135,-0.0370494418759387,-0.0722309337926546,-0.0177542918252461,0.0118486042253372,0.0330930694403154,0.3580388409333453,0.9563575402323562
2024-06-14,2331.39990234375,29.402000427246097,79.29392110964328,0.0548839877238707,-1.0925471221583336,0.7120215658985103,0.0113655872491911,-0.0204202090992646,0.0022840069836207,-0.0088656827967122,0.0123243505952899,0.0332346961671191,0.3708278400776568,0.9693295901373665
