Date,gold_close,silver_close,gsr,gsr_zscore_30,gsr_zscore_90,gsr_slope,gold_ret_5,gold_ret_20,silver_ret_5,silver_ret_20,gold_vol_20,silver_vol_20,vol_ratio
2024-05-31,2322.89990234375,30.29700088500977,76.67095205760334,-1.074278823754795,-2.0789558037774025,-0.4324678806767537,-0.00518205467077093,0.010307912176057421,0.0004292856990801841,0.13971337607952505,0.010389065111843605,0.025573245833505422,0.40624741886429266
2024-06-03,2346.60009765625,30.641000747680664,76.583663731475,-1.0273348511124145,-2.0246121870757183,-0.3203918526764653,0.006045057944801702,0.02070469667518493,0.010253901244870356,0.1586689771706702,0.01060760627828796,0.02542982304415786,0.41713252427546516
2024-06-04,2325.5,29.488000869750977,78.86258584540114,-0.49386802990057227,-1.4721401430367176,5.195828417951503,-0.012610373551127707,0.0016798338127601564,-0.0776641252851985,0.07742341440012357,0.010625231996524697,0.026492829425385986,0.40106067290583075
2024-06-05,2354.10009765625,29.947999954223633,78.60625421579266,-0.5067560860362992,-1.4896277241424445,5.932897288029551,0.005896700653847953,0.016802067771591433,-0.07002450773961977,0.09687581974671367,0.010938080191089456,0.02656704513398703,0.4117160992472004
2024-06-06,2370.300048828125,31.246999740600582,75.8568844530789,-1.0382171733890229,-2.022333173995958,1.2137129895613583,0.011694971030117296,0.02450723927152043,-0.00449218636062243,0.14202696067017984,0.01101127749466313,0.027902419315205526,0.3946352239306537
2024-06-07,2305.199951171875,29.334999084472656,78.58189954374477,-0.4005427536136907,-1.3983033327159973,1.9109474861414242,-0.007619764912821347,-0.01153473065388988,-0.03175237721345181,0.04276265876209462,0.012609995758804605,0.031287850511522414,0.4030317056827124
2024-06-10,2307.699951171875,29.768999099731445,77.52023987909938,-0.5868580388834811,-1.5814233298422453,0.936576147624379,-0.016577237222152985,-0.025176401988313057,-0.02845865430864636,0.052838178651011036,0.01207574929694697,0.0314041898774107,0.3845266935426715
2024-06-11,2307.5,29.132999420166016,79.20571331226321,-0.16112484313155134,-1.1966579871862102,0.34312746686207163,-0.007740270909481817,-0.012242667891219083,-0.01203884424559698,0.032316315052002054,0.011742694209427529,0.03186374289251216,0.36852840072931325
2024-06-12,2336.0,30.176000595092773,77.41251172893602,-0.5282831123776802,-1.5339563907204328,-1.1937424868566353,-0.0076887544732148205,-0.0073935170671255435,0.007613217617792323,0.05936457604030032,0.011968928261498988,0.03271906644991137,0.3658089780716042
2024-06-13,2300.199951171875,28.989999771118164,79.34460052888626,0.0026169400547336372,-1.1056179511431823,3.4877160758073558,-0.02957435607821357,-0.03704944187593873,-0.07223093379265466,-0.017754291825246127,0.011848604225337258,0.03309306944031546,0.3580388409333453
